date,summary,countries,comment
2025-12,"Approximately $7 million in cryptocurrency was stolen through the crypto wallet company Trust Wallet's Chrome extension from a supply chain attack on December 24th. The company has since released a patched version and pledged to reimburse affected users, with early findings suggesting the malicious update bypassed internal controls via a leaked Chrome Web Store API key.",>1,
2025-12,"A distributed denial-of-service (DDoS) attack disrupted France's national postal service La Poste and its banking service La Banque Postale days before Christmas. The incident knocked websites and mobile applications offline, slowing parcel deliveries during the holiday rush. At this time, no group claimed responsibility for the attack.",FR,
2025-12,Venezuela's state oil company PDVSA reported a ransomware attack on December 15th that disrupted administrative systems and halted oil cargo deliveries. The company blamed the U.S. for the attack amidst high tensions and days after the U.S. seized a Venezuelan oil tanker carrying nearly two million barrels of oil.,VE,
2025-12,"The French Interior Minister confirmed on December 12th that the ministry was breached in a cyberattack that compromised e-mail servers. During the ongoing investigation, the ministry has tightened security protocols and strengthened access controls to the information systems used by ministry personnel in response to the breach.",FR,
2025-12,"South Korean e-commerce platform Coupang reported a data breach compromising 33.7 million customer account containing names, email addresses, phone numbers, shipping addresses, and certain order histories. Police have reportedly identified a former employee as a suspect and have launched an official investigation.",KR,
2025-11,"On November 28, South Korean authorities reported that North Korea's Lazarus Group stole $30.4 million in cryptocurrency from South Korea's Upbit exchange. Investigators linked the attack to Pyongyang's broader campaign to fund its regime via cyber theft and reported possible strategic timing given alignment with a major corporate acquisition.",KR,
2025-11,"On November 21, Salesforce disclosed that hackers linked to the ShinyHunters group exploited Gainsight OAuth integrations to access over 200 companies' data. The attackers stole sensitive records from major firms, showing the risks of interconnected SaaS systems.",?,
2025-11,"The INC ransomware gang compromised OnSolve's CodeRED system in early November, halting emergency alerts across multiple U.S. states. The attackers stole resident contact data then attempted to extort the company, which refused to pay. Officials scrambled to deploy a new platform to end the critical infrastructure disruption.",US,
2025-11,"Russian-aligned group NoName057 claimed responsibility for DDoS attacks on Belgian telecom, health, and defense websites in early November. The politically motivated disruptions were brief but signaled continued cyber pressure on EU states supporting Ukraine.",BE,
2025-11,"An unidentified adversary breached the U.S. Congressional Budget Office (CBO) in November, accessing internal communications and policy data. While the CBO took immediate action to contain the incident, it nonetheless raised concerns over foreign surveillance of U.S. legislative planning.",US,
2025-10,"The ransomware group Medusa claimed responsibility for a data breach involving SimonMed Imaging, during which hackers exfiltrated data belonging to approximately 1.2 million patients. The attackers reportedly demanded $1 million to delete the stolen files, and SimonMed has brought in cybersecurity experts to investigate.",US,
2025-10,"Hackers uploaded 23 million customer records belonging to several companies, including Vietnam Airlines, on data-trading forums. Vietnam Airlines confirmed this data-breach incident, which exposed customers' personal information linked to its technology partner's online customer service platform.",VN,
2025-10,"Canadian Centre for Cyber Security warned that hacktivist groups have exploited industrial control systems at critical infrastructure sites. Attackers were observed leveraging weak security configurations, default credentials, and unpatched internet-facing PLCs and HMIs.",CA,
2025-10,"North Korean Lazarus APT group targeted three European defense sector companies to steal sensitive information on drone components and manufacturing processes. The attackers used a social engineering campaign, sending fake job offers with a remote access trojan. The targeted companies supply military equipment to Ukraine and possess specialized knowledge on advanced single-rotor drones that North Korea is actively developing.",?,
2025-10,"Russian cybercrime group Lynx breached Dodd Group, a UK Ministry of Defence contractor, stealing approximately 4TB of data, including sensitive files on eight RAF and Royal Navy bases. The attackers deployed ransomware and exfiltrated visitor logs, staff details, security guidance, and construction records and began leaking roughly 1,000 documents. The UK MoD has launched an investigation into this breach.",GB,
2025-09,"A ransomware gang calling itself Radiant breached Kido International, a childcare provider operating 18 London nurseries, and exfiltrated photographs and personal data of more than 8,000 children. The attackers used phishing emails to obtain remote-desktop access and deploy encryption tools. The group later claimed to delete the data after public backlash.",GB,
2025-09,"A ransomware attack on Collins Aerospace's vMUSE airport operations platform disrupted check-in and boarding systems at Heathrow, Brussels, and Berlin airports. The malware encrypted backend servers, forcing airlines to revert to manual check-in and causing hundreds of flight delays. European aviation authorities have not attributed the incident.",GB-DE-BE,
2025-09,"Hackers infiltrated servers belonging to luxury conglomerate Kering, stealing personal data from clients of Gucci, Balenciaga, and Alexander McQueen. The attackers used credential-stuffing tools and web-exfiltration scripts. The criminal group ShinyHunters claimed responsibility, though Kering did not confirm their involvement.",FR,
2025-09,"Threat actors exploited stolen OAuth 2.0 refresh tokens from Salesloft and Drift integrations to exfiltrate Salesforce data from hundreds of corporate environments worldwide. The financially motivated campaign affected firms across the finance, technology, and logistics sectors, with some estimates suggesting over a billion records accessed.",>1,
2025-09,"Cybercriminals attacked Jaguar Land Rover's IT network with ransomware that disrupted manufacturing and retail operations across multiple UK plants. The attack is estimated to cost '1.9B and be the most economically damaging cyber event in UK history. A group calling itself Scattered Lapsus$ Hunters claimed responsibility, though UK authorities have not confirmed attribution.",GB,
2025-08,"The U.S., Five Eyes partners, and other allies accused three Chinese firms of aiding Beijing's intelligence services in cyber espionage. The coalition linked them to sweeping breaches of telecommunications and government data worldwide.",>1,
2025-08,"Interpol's 'Operation Serengeti 2.0' led to the arrest of more than 1,200 alleged cybercriminals across 18 African countries and the UK. Authorities disrupted tens of thousands of scams and recovered nearly $100 million.",GB-?,
2025-08,"Nigeria deported more than 100 convicted foreign nationals, including 50 Chinese citizens, in a crackdown on one of the country's largest foreign-led cybercrime syndicates.",NG,
2025-08,"Russian hacktivists disrupted operations at a Polish hydropower plant in Tczew, marking a more destructive follow-up to a May attack on the same facility.",PL,
2025-08,"Norway formally attributed an April cyberattack on a dam in Bremanger to Russia. Authorities said hackers briefly seized control of the facility to sow fear and chaos, though no damage occurred.",NO,
2025-08,An attack on Canada's House of Commons exposed employee data and details of government-managed devices. Authorities said the breach exploited a Microsoft vulnerability and warned the information could be used in scams or impersonation attempts.,CA,
2025-08,Hackers exploited flaws in widely used application delivery and remote access systems to breach several critical infrastructure providers in the Netherlands. Dutch authorities warned that the vulnerabilities could affect thousands of systems worldwide.,NL,
2025-08,"Several Caribbean governments part of the Kingdom of the Netherlands were hit by cyberattacks, including a ransomware attack on Cura'ao's Tax and Customs Administration. The Dutch Court of Justice was also affected.",NL,
2025-07,"Chinese state-linked hackers exploited critical flaws in Microsoft's SharePoint software, breaching U.S. government agencies, critical infrastructure, and global companies.",US,
2025-07,Singapore reported ongoing cyberattacks on critical infrastructure by a China-linked espionage group. Units in Singapore's military were called in to combat the attacks.,SG,
2025-07,"Europol disrupted a pro-Russian hacktivist group behind DDoS attacks on Ukraine and NATO countries. The operation led to arrests in France and Spain, as well as warrants for six Russian nationals.",UA-?,
2025-07,"A China-linked cyber espionage group targeted an African IT provider servicing government clients, marking a rare expansion into the region.",?,
2025-06,"OpenAI banned state-linked accounts from Russia, China, and other countries for abusing ChatGPT in cyber operations. The actors used the tool for malware development, espionage research, social engineering, and covert influence campaigns.",US,
2025-06,"Ukraine's military intelligence agency claimed it breached Russian aerospace firm Tupolev, stealing classified data on strategic bomber programs.",RU,
2025-06,"Researchers uncovered the largest known data leak in China, exposing over 4 billion user records from platforms including WeChat and Alipay. The data trove appeared designed for mass profiling and surveillance, though its origin remains unknown.",CN,
